Customer ID,last_purchase,frequency,monetary,avg_order_value,avg_basket_size,avg_unique_skus,recency,R_score,F_score,M_score,RFM_Score,RFM_Total,favourite_hour,favourite_dow,pct_weekend_orders,pct_morning_orders,unique_products,unique_countries,total_items_bought,spend_cv,avg_days_between_purchases,std_days_between_purchases,tenure_days,revenue_q1,revenue_q2,revenue_q3,revenue_q4,cluster,segment,seg_color
12347,2011-12-07 15:52:00,8,5633.32,704.165,410.75,27.75,2,5,4,5,545,14,14,1,0.15810276679841898,0.18181818181818182,126,1,3286,0.6069899502660422,57.0,19.03505538035898,402,475.39,1018.77,584.9100000000001,3554.25,1,Regulars,#1D9E75
12348,2011-09-25 13:13:00,5,2019.3999999999999,403.88,542.8,9.4,75,3,4,4,344,11,14,0,0.058823529411764705,0.21568627450980393,25,1,2714,0.693020496785395,90.5,57.70326391692819,362,227.44,367.0,532.16,892.8,1,Regulars,#1D9E75
12349,2011-11-21 09:51:00,4,4428.69,1107.1725,406.0,43.75,19,5,3,5,535,13,9,3,0.0,0.7371428571428571,138,1,1624,0.6024510730847662,189.66666666666666,187.04099372419225,570,0.0,1268.52,0.0,3160.17,1,Regulars,#1D9E75
12350,2011-02-02 16:01:00,1,334.4,334.4,197.0,17.0,310,2,1,2,212,5,16,2,0.0,0.0,17,1,197,0.0,0.0,0.0,0,334.4,0.0,0.0,0.0,3,Lost Casuals,#D85A30
12351,2010-11-29 15:23:00,1,300.93,300.93,261.0,21.0,375,2,1,2,212,5,15,0,0.0,0.0,21,1,261,0.0,0.0,0.0,0,0.0,0.0,0.0,300.93,3,Lost Casuals,#D85A30
12352,2011-11-03 14:37:00,10,2849.84,284.98400000000004,72.4,10.1,36,4,5,4,454,13,14,1,0.0,0.17475728155339806,70,1,724,0.7450694714133794,39.22222222222222,58.25756984671129,356,1561.81,0.0,632.5,655.53,1,Regulars,#1D9E75
12353,2011-05-19 17:47:00,2,406.76,203.38,106.0,12.0,204,2,2,2,222,6,12,2,0.0,0.0,23,1,212,0.7953473658385024,204.0,0.0,204,0.0,89.0,0.0,317.76,1,Regulars,#1D9E75
12354,2011-04-21 13:11:00,1,1079.4,1079.4,530.0,58.0,232,2,1,3,213,6,13,3,0.0,0.0,58,1,530,0.0,0.0,0.0,0,0.0,1079.4,0.0,0.0,3,Lost Casuals,#D85A30
12355,2011-05-09 13:49:00,2,947.61,473.805,271.5,17.5,214,2,2,3,223,7,11,4,0.0,0.6285714285714286,35,1,543,0.042996056111658756,353.0,0.0,353,0.0,947.61,0.0,0.0,1,Regulars,#1D9E75
12356,2011-11-17 08:40:00,6,6373.68,1062.28,569.5,23.5,23,4,4,5,445,13,9,0,0.0,0.5244755244755245,104,1,3417,0.9295439687454166,79.8,83.463764592786,401,2271.62,481.46000000000004,0.0,3620.6,1,Regulars,#1D9E75
